titulo,valor
É d’Oxum,6175
Cordas De Aço,6160
Curtindo a Vida,6149
Caciqueando,6127
A Chuva Cai,6095
O Bêbado E A Equilibrista / Citação Musical: Smile,6092
Faixa Amarela,6079
"No Mexe Mexe, no Bole Bole",6074
Não quero saber mais dela,6057
Frasco Pequeno,6054
Perseverança,6053
Pedaço de Ilusão,6051
Marrom Bombom,6049
Coisas Certas E Certas Coisas,6031
Bebeto loteria,6009
Separação,6004
Novos tempos,5996
Cheia de Manias,5985
Amizade / O Show Tem Que Continuar,5976
Pelo Telefone,5965
Pimpolho,5938
Samba Do Grande Amor,5924
Maracangalha,5909
Um Lindo Sonho,5900
Ontem,5876
Bom ambiente,5854
Só Vai De Camarote,5848
Além da Razão,5830
Depois do Prazer,5819
Resignação,5818
Quando A Dor Já É Demais,5772
Tristeza,5767
"Princípio, Meio e Fim",5765
Quem é do mar não enjoa,5764
Sim,5761
É Tarde Demais,5753
Saco de Feijão,5752
Mutirão de Amor,5728
Maneiras (Participação especial de Zeca Pagodinho e Marcelo D2),5724
Onde está / Volta de vez pra mim,5723
Loucuras de uma paixão,5719
Conselho / Insensato Destino / Coisa de Pele,5712
Brilho no Olhar / Problema Emocional / Nossa Escola,5702
Teu Segredo,5701
Som de Prata (Ao Vivo),5697
Cabelo pixaim,5696
O Teu Chamego,5695
Samba De Arerê,5692
Sambista Perfeito,5691
Gamei,5685
Encontro das águas,5677
Voltei (feat. Mumuzinho),5673
Boteco do Arlindo,5664
Liberdade! Liberdade! Abre As Asas Sobre Nós,5660
Pedi Ao Céu,5648
Eu e Você Sempre,5646
Me Leva,5643
Alguém Me Avisou / Saco Cheio / Bebeto Loteria,5642
O Mundo é um Moinho,5631
Amor dos Deuses / Sem Segredo,5614
Carinhoso,5597
Samba Da Benção,5595
Opinião,5575
Cohab City / Música Incidental: ABC / Vem Pra Cá,5569
País Tropical,5548
Morango do Nordeste,5544
Chega,5533
Retrato cantado de um amor,5531
Pintou uma Lua Lá,5525
Coisa da Antiga,5524
Pago Pra Ver,5515
Pra Que Pedir Perdão (Ao Vivo),5511
Volta por Cima,5482
Pé do Meu Samba,5474
