titulo,valor
Maluca Pirada (feat. Mumuzinho),3187
Telecine (Ao Vivo),3184
Não Há Limites,3169
Nas Nuvens / Quando a Gente Ama / Me Espera (Ao Vivo) (feat. Sorriso Maroto),3167
Não Precisa Mudar,3161
Ruínas,3157
Eternamente,3149
Vai e Chora,3145
O Brasil Tem Que Te Ver (feat. MC KEVINHO),3126
Já Deu Pra Notar / Melhor Eu Ir,3119
Caô,3116
Eu Já Te Quis um Dia,3113
Se Cuida,3111
40 Graus De Amor,3096
Brincadeira Tem Hora,3094
Saudade de Nós / Coisas do Amor (Fã de Carteirinha) (feat. Dodo),3093
Toda Noite,3091
Depois da Briga,3081
Deixa Eu Te Tocar,3072
Procura,3052
Pela Vida Inteira,3047
Beijo Geladinho / Cohab City (feat. Netinho De Paula),3042
Mais uma Vez / Volta de Vez Pra Mim / Porradão (Ao Vivo),3037
Dúvida Cruel (Ao Vivo),3027
Duas Paixões / Shortinho Saint,3015
Melanina (Participação especial de Léo Santana),3013
Porta Aberta,2997
Compasso do Amor,2988
Coração de Casal,2988
É amor que chama né (Participação especial de Lucas Lucco),2988
Coração Blindado,2983
Nem Aí / Não Tem Hora e Nem Lugar,2979
Flashback (Participação especial de Marcos & Belutti),2978
Fora da Lei,2973
Calma,2972
Oração,2968
Linda Voz (Olá),2963
Instigante,2960
Mantra,2958
Vaga Lembrança / Pretexto,2952
Tudo Mudou (Todo Cambió),2951
Fica (Participação especial Simone & Simaria),2941
Coisas da Vida,2930
A Vingança,2928
Tudo Fica Blue,2927
Casal Maluco,2927
Pra não dar bandeira,2914
Desencana,2910
Você Podia,2908
Brilho no Olhar / Agora Viu Que Perdeu e Chora / Retrato Cantado de um Amor (feat. Reinaldo),2900
Sobrenatural,2884
Missão,2867
De Graça e de Glória,2860
Assim Você Mata O Papai,2848
Deixa Acontecer / Brilho de Cristal / Toda Noite / Derê / Pela Vida Inteira / Coraçao Radiante (Ao Vivo),2837
Reticências,2834
Aliança no Dedo,2819
Mal Entendido / Dia de Sol,2799
Davi (Participação especial de Péricles),2795
É Diferente,2786
Climatizar,2777
Mina Do Condomínio,2775
Azul Sem Fim,2770
Sobrenatural (Cadê você),2767
Fala Duvida,2766
Depois da Briga,2760
Saudade Do Amor,2760
Timidez / Tu Mandas no Meu Coração,2747
Supera,2743
Eu Vacilei,2743
Sou O Cara Pra Você,2739
Meu Nome é Favela,2735
Deus Quer,2730
Casal Maluco (Ao Vivo na Fonte Nova),2718
Essa Tal Liberdade,2706
Não Foi a Tôa / Momentos (feat. Belo),2700
A Batucada Dos Nossos Tantãs / Do Fundo Do Nosso Quintal,2668
Olha o Que o Amor Me Faz (Sony Music Live),2666
A ver navios (Participação especial de Ivete Sangalo),2665
Cuidado Cupido,2662
Morango do Nordeste,2653
22 Minutos / Sintomas do Amor,2648
Fã de Carteirinha,2636
Flor de Lis,2630
Uma Simples Carta (Ao Vivo),2613
Já que Você Não Me Quer Mais / A Vingança (Ao Vivo),2606
Mô Love,2604
100% Dela,2604
Clichê,2601
Teoria e Prática,2600
Paciência (Participação especial Alcione),2586
Ja É Madrugada,2586
"Prazer, eu sou Ferrugem ",2580
Fatalmente,2579
Amor Eterno,2578
Neblina,2575
Eu te homenageava (Participação especial de Nego do Borel),2574
Razão da Minha Vida,2571
Na Nossa Sala,2570
"Melhor Eu Ir, ao Vivo na Fonte Nova",2566
Nossa Escola,2565
24 Horas De Amor,2565
Princesinha,2565
Tô Achando Que É Amor,2559
Ajoelhou Tem Que Rezar,2543
Promessas,2537
Deu a Louca (Com Rap) (feat. Mc Guimê),2534
Viciada em Beijo,2524
Mundo de Oz / Telegrama,2517
Teu Abrigo,2508
Me Leva Junto Com Você,2508
Piquenique (Ao Vivo),2498
Viva a Vida,2497
Pra Ver O Sol Brilhar (Ao Vivo),2479
Pro Meu Mundo Girar,2479
Sou Eu,2477
Se a Fila Andar,2476
Me Espera,2476
Deixa eu te querer,2475
Deixa eu te querer / Opções,2473
Sou eu,2471
Dividido,2460
Carona Do Amor,2452
Vai por Mim,2442
Pra Você Escutar,2441
Eu sou feliz assim,2439
Cigano,2438
Tentei ser incrível,2433
No meu Olhar,2432
Mega Star,2428
Misturados,2426
De 0 a 100,2424
Hoje A Noite É Nossa,2415
Amor de amante,2411
Buquê De Flores,2407
Outros Ideais,2407
Joguei a Toalha,2405
Clareou,2401
Me Belisca (Ao Vivo),2398
Beijo Roubado,2396
Onze e Pouquinho,2390
Sem Você a Vida É Tão Sem Graça,2388
Pimpolho,2383
Mô,2383
Leite Condensado,2381
A Dor Desse Amor,2380
Coração Deserto,2380
Hora de Voltar,2372
Tua Boca,2369
Abandonado,2366
Segue sua Vida / Paixão Verdadeira (feat. Doce Encontro & Samprazer),2363
Lucidez,2361
Recado a minha amada,2360
Te Amo,2358
Preciso Desse Mel / Tudo Fica Blue / Velho Amor,2357
Refém / 12 Horas,2349
Só uma,2347
Será Que É Amor,2341
Vou Te Escrever Um Rap,2339
Ex,2338
Predador (Ao Vivo),2338
Brilho no Olhar / Problema Emocional / Nossa Escola,2336
Diz Pra Mim,2333
Tristinha,2328
Mulher Traída,2322
Tudo Ao Contrário,2322
Só De Olhar/40 Graus De Amor / Luz Das Estrelas,2321
Vixe,2318
Nossa Lua (Ao Vivo) (feat. Leo Santana),2308
Recado a minha Amada / No Compasso do Criador (feat. Salgadinho),2305
Melhor Eu Ir,2301
Quero Ser Feliz Também,2299
Refém Do Coração,2296
Três palavras,2293
Quando A Gira Girou,2290
Camisa10 (Ao Vivo),2290
Terra do Nunca (Ao Vivo),2288
Louca Paixão,2281
Intriga da Oposição,2278
Você Passou,2277
Medley: Telecine / Pouco a Pouco / Controle Remoto / Péssimo Negócio,2272
Vai e Chora / Eu Já Te Quis um Dia / Pra Você Escutar,2267
Vá com Deus,2267
Se Liga,2261
A Troco de Nada,2255
O Mundo Tá Girando,2254
Melhor Amiga da Minha Namorada,2250
Toda Noite,2250
Pra Me Enfraquecer,2248
Ensaboado,2234
Mensageiro do Amor,2234
Reinventar / Pra Ver O Sol Brilhar / Perfume,2234
18 Quilates,2233
Namora Eu Aí (Ao Vivo),2231
Falando Segredo,2219
Na Pagodeira / Saudade do Amor / Tá Chovendo Mulher,2219
Quando a Gente Ama,2218
Agora Viu Que Perdeu e Chora (feat. Reinaldo),2215
Mania TDP / Nosso DNA (feat. Péricles & Chrigor),2211
Novas Regras,2210
Saudade não é solidão,2208
Estrela Da Paz,2205
Papel Machê,2203
Medley: Sorria / Quando a Gente Ama / Intriga da Oposição / Pra Ver o Sol Brilhar,2193
Curto Circuito,2188
Piquenique (Sony Music Live),2179
Você e Eu,2173
Estrela Maior,2170
Pra você dar o nome (Participação especial de Thiaguinho),2169
Deixa o Meu Cabelo,2165
Você Gosta,2163
A Batucada Te Pegou,2163
Dividido,2161
Ele e Ela,2151
Lugarzinho,2147
Coisas de Mulher,2135
Tira Ela de Mim (Quitame Ese Hombre),2134
Tá Gostando Mais Ou Menos,2125
Se Eu Tivesse O Poder,2121
Restrito,2114
Um Minuto / Calma Amor (Ao Vivo),2114
Vai Com Calma,2112
Insegurança / Meu Amor / Nem De Graça,2111
Desarrumar,2111
Me Namora,2104
Eu Tenho Muito Mais,2103
Faixa Amarela,2102
Pra Mim Não É,2099
A Carta,2097
Não Quero Despedida,2094
Delírios de Amor (feat. Grupo Revelação),2093
Primeiro Lugar (Quando Ela Souber),2088
Beijo de Garrafa,2085
Como Nunca Amei Ninguém,2083
Bebe Vem Me Procurar,2080
Segredos,2080
Bombocado,2078
Luz Neon,2077
Minha Medida,2077
Trovão / Quer Ser Minha Namorada / Diz Pra Mim (Ao Vivo),2073
Vai e Vem,2068
Tempo de Aprender / Energia Surreal / Ela Mexe Comigo / Deixa Acontecer (Ao Vivo),2066
"Aceita, Paixão",2043
Hoje Tem Samba / Oh Irene / Dona Fia (Ao Vivo),2040
Eu Choro,2039
Papel de Homem,2033
Saudade não é solidão,2025
Quarto e Sala,2023
Oa Oa (Canção do Amor) / Porradão,2022
Até Que Durou,2016
Pra ser feliz,2011
Telegrama,2011
