Artista;Gênero;Década de nascimento;UF de nascimento;Nome
pixinguinha;Homem;1890-1899;RJ;Pixinguinha
pixote;Grupo;;;Pixote
pixule;Homem;1960-1969;RJ;Pixulé
pretinho-da-serrinha;Homem;1970-1979;RJ;Pretinho da Serrinha
preto-joia;Homem;1950-1959;RJ;Preto Jóia
prettos;Grupo;;;Prettos
quinho;Homem;1950-1959;RJ;Quinho
renato-da-rocinha;Homem;1970-1979;RJ;Renato da Rocinha
renato-ferreira;Homem;1920-1929;RJ;Renato Ferreira
riachao;Homem;1920-1929;BA;Riachão
rildo-hora;Homem;1930-1939;PE;Rildo Hora
roberta-sa;Mulher;1980-1989;RN;Roberta Sá
roberto-ribeiro;Homem;1940-1949;RJ;Roberto Ribeiro
roberto-silva;Homem;1920-1929;RJ;Roberto Silva
rodrigo-carvalho;Homem;1980-1989;RJ;Rodrigo Carvalho
roque-ferreira;Homem;1940-1949;BA;Roque Ferreira
rosalia-de-souza;Mulher;1960-1969;RJ;Rosalia de Souza
samba-do-trabalhador;Grupo;;;Samba do Trabalhador
serginho-do-porto;Homem;1960-1969;RJ;Serginho do Porto
serginho-meriti;Homem;1950-1959;RJ;Serginho Meriti
seu-jorge;Homem;1970-1979;RJ;Seu Jorge
silas-de-oliveira;Homem;1910-1919;RJ;Silas de Oliveira
simone;Mulher;1950-1959;BA;Simone
sinho;Homem;1880-1889;RJ;Sinhô
sombrinha;Homem;1950-1959;SP;Sombrinha
sorriso-maroto;Grupo;;;Sorriso Maroto
soweto;Grupo;;;Soweto
tantinho-da-mangueira;Homem;1940-1949;RJ;Tantinho da Mangueira
teresa-cristina;Mulher;1960-1969;RJ;Teresa Cristina
thiago-brito;Homem;1980-1989;RJ;Thiago Brito
thiaguinho;Homem;1980-1989;SP;Thiaguinho
tom-jobim;Homem;1920-1929;RJ;Tom Jobim
toninho-geraes;Homem;1960-1969;MG;Toninho Geraes
toquinho;Homem;1940-1949;SP;Toquinho
trio-calafrio;Grupo;;;Trio Calafrio
turma-do-pagode;Grupo;;;Turma do Pagode
vassourinha;Homem;1920-1929;SP;Vassourinha
vinicius-de-moraes;Homem;1910-1919;RJ;Vinicius de Moraes
walter-alfaiate;Homem;1930-1939;RJ;Walter Alfaiate
wander-pires;Homem;1970-1979;RJ;Wander Pires
wilson-batista;Homem;1910-1919;RJ;Wilson Batista
wilson-das-neves;Homem;1930-1939;RJ;Wilson Das Neves
wilson-moreira;Homem;1930-1939;RJ;Wilson Moreira
xande-de-pilares;Homem;1960-1969;RJ;Xande de Pilares
ze-keti;Homem;1920-1929;RJ;Zé Keti
ze-paulo-sierra;Homem;1970-1979;RJ;Zé Paulo Sierra
zeca-pagodinho;Homem;1950-1959;RJ;Zeca Pagodinho
